Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
10/05/1989,TREATT PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,256.25
28/05/2021,TRELLUS HEALTH PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,4.2
21/03/1996,TRIAD GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,59.18
08/07/2002,TRIBAL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,100.51
05/09/2023,TRIBE TECHNOLOGY PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,0.18
16/02/1994,TRIFAST PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,104
19/10/2020,TRIPLE POINT ENERGY TRANSITION PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,45.21
24/12/2010,TRIPLE POINT VENTURE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,73.29
01/06/2005,TRISTEL PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,178.85
09/12/2013,TRITAX BIG BOX REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"3,624.27"
11/03/1953,TR PROPERTY INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,972.68
21/02/2018,TRUFIN PLC,Financials,Financial Services ,Jersey,Europe,AIM ,No,81.06
23/03/2021,TRUSTPILOT GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,374.84"
09/12/1948,TT ELECTRONICS PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,161.87
20/12/2017,TUFTON ASSETS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,254.45
18/12/2000,TULLOW OIL PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,262.62
21/10/2021,TUNGSTEN WEST PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,5.19
14/05/1998,TURKIYE IS BANKASI A.S.,Financials,Banks,Turkey,Europe,MAIN MARKET ,Yes,-
06/03/2013,TWENTYFOUR INCOME FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,807.66
10/03/2014,TWENTYFOUR SELECT MONTHLY INCOME FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,235.27
20/06/2007,UIL FINANCE LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET ,Yes,-
20/06/2007,UIL LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET ,Yes,108.57
02/03/2005,UK OIL & GAS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,2.74
